               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.089241,             0.12307,            0.092587,          0.00035516,           0.0069143,           0.0003886,          0.00025567,             0.10294,            0.053736,            0.096539,             0.09307,               7e-05,               7e-05
                   1,            0.091342,             0.13505,            0.094704,          0.00045138,           0.0066925,          0.00055494,          0.00032515,             0.10237,            0.054602,            0.096916,            0.085143,          0.00014258,          0.00014258
                   2,            0.091669,             0.11894,             0.09261,          0.00059714,           0.0048029,          0.00052264,          0.00027952,             0.10206,            0.055422,            0.097412,            0.077207,          0.00020723,          0.00020723
                   3,            0.088026,             0.11059,            0.092062,          0.00096554,           0.0059418,          0.00083387,           0.0003479,             0.10157,            0.057325,            0.097416,            0.069264,          0.00026397,          0.00026397
                   4,            0.091627,             0.10278,            0.090932,          0.00098921,           0.0083446,           0.0010399,          0.00045812,             0.10079,            0.061029,            0.096584,            0.061313,          0.00031278,          0.00031278
                   5,             0.08923,             0.11045,            0.092026,           0.0012091,            0.014067,           0.0012379,          0.00061407,            0.099661,            0.066092,            0.095325,            0.053354,          0.00035367,          0.00035367
                   6,            0.089361,             0.10944,             0.08951,           0.0012039,             0.01718,           0.0010091,          0.00058814,            0.098326,            0.070734,             0.09436,            0.045387,          0.00038665,          0.00038665
                   7,            0.089033,             0.10079,            0.088708,           0.0013151,             0.01254,           0.0014806,          0.00087803,            0.095638,            0.075108,            0.093475,            0.037412,          0.00041171,          0.00041171
                   8,            0.088762,             0.10313,            0.087814,            0.015328,            0.011155,           0.0083124,           0.0049354,            0.092951,            0.075754,            0.092419,            0.029429,          0.00042884,          0.00042884
                   9,             0.08847,            0.096105,            0.089458,           0.0036618,           0.0083343,             0.00277,           0.0017463,            0.091491,            0.074768,            0.091637,            0.021438,          0.00043805,          0.00043805
                  10,            0.086481,            0.093713,            0.091898,            0.021263,            0.018493,            0.013527,           0.0085851,             0.08937,            0.072084,            0.088783,            0.013439,          0.00043935,          0.00043935
                  11,            0.085207,            0.098044,            0.090255,            0.016337,             0.02938,            0.013807,            0.008249,            0.087852,             0.07127,            0.086739,           0.0054327,          0.00043272,          0.00043272
                  12,            0.084052,            0.089585,            0.088675,            0.011075,            0.039073,            0.012614,           0.0060407,            0.086673,            0.068361,            0.084908,            0.000406,            0.000406,            0.000406
                  13,            0.084974,            0.086456,            0.086743,           0.0083154,            0.053638,            0.012515,           0.0056311,            0.085827,            0.066254,            0.083118,            0.000406,            0.000406,            0.000406
                  14,            0.084967,            0.092221,            0.085583,           0.0069131,            0.074092,            0.012558,           0.0049734,             0.08507,            0.063578,            0.081833,           0.0003565,           0.0003565,           0.0003565
                  15,            0.083628,             0.09069,            0.087939,           0.0077455,             0.10966,             0.01422,           0.0055246,            0.084433,            0.062153,            0.081165,            0.000307,            0.000307,            0.000307
                  16,            0.083283,            0.091434,            0.082494,           0.0068611,             0.12011,            0.014951,            0.005946,            0.084232,            0.061333,            0.080929,           0.0002575,           0.0002575,           0.0002575
                  17,            0.083941,            0.095442,            0.082628,           0.0058132,             0.11592,             0.01639,           0.0067824,            0.084111,            0.060434,            0.080379,            0.000208,            0.000208,            0.000208
                  18,             0.08251,            0.084175,            0.087098,           0.0064862,             0.15011,             0.01706,           0.0068512,            0.084167,             0.05969,            0.080421,           0.0001585,           0.0001585,           0.0001585
                  19,            0.084142,            0.094765,            0.086512,           0.0060516,             0.15111,            0.015908,           0.0059264,            0.084285,            0.059523,            0.080738,            0.000109,            0.000109,            0.000109
